id,date,rank
5Y0JbLOPLfWdWTQHJPJtEx,2022/5/2,1
74qVCcTIf0fyylEiZuL8mL,2022/3/28,17
3qAuNCammYHsIoU83qyGyu,2022/4/11,4
7oCZ1O1L4TuLRnmt8Io4IU,2022/4/4,8
609ZaFJuwGmqSsCDFCYIwG,2022/4/4,15
0UP2LfMahz2upMadwoqGfu,2022/4/11,11
75IN3CtuZwTHTnZvYM4qnJ,2022/4/18,12
6ahKnsl2tuTCyaBwt45WAz,2022/4/4,20
0aYy3loC6Ot5vsBfMvHZUC,2022/4/25,2
3w6dGNmencAVaDGQkglElo,2022/4/18,3
4fdB7D3ie0C6HZLEb8VTHA,2022/5/2,4
5JptX8WFwejyeb6OuKL7wG,2022/4/18,4
7gKTnSP2s0pPZe1NwBA8FB,2022/4/11,20
0TQpPhA1OBrVGIfaKShRrx,2022/5/16,1
5O505A6vi4Igv5BInFJ6fM,2022/4/18,18
0Q5VnK2DYzRyfqQRJuUtvi,2022/5/2,7
4rdmyc70mJQEfhKeiFDLFZ,2022/4/25,13
43PlsJn27zRG2KjpL12eb7,2022/4/25,16
4WQJd6v3HIDGZnn2kJTEc9,2022/4/25,19
3ZUQqy2qN3L9DgNfefMcSp,2022/5/2,6
6hDhcQg11LxCk3rcaRlyb6,2022/5/9,5
0O4YelF6Zneq7sk1Ye73N2,2022/5/2,17
6nYezkgAePhAmnxNTQRsLV,2022/5/16,3
73lYGiWPM9Wu4xhdOe8LNM,2022/5/2,20
2uMNMcjjUz8oNIxjIu20qE,2022/5/16,4
0xbZ86ejZysyNM2V5BY0EI,2022/5/16,10
3mCsBzXdoYF4wK8ElA49Un,2022/5/16,5
0sT7sqippFiMVx82UNWwhy,2022/5/16,13
4EwKtJQT2ZHKzECGH3EjLx,2022-01-20,193
3IanNVIcOMlKFr329uhNcA,2021-12-30,199
5Anr2wqdL182BsI02iCbcd,2021-12-30,187
5XhxMq0dQNenKr6eDU79Ka,2021-12-30,193
5ALRT96oaGuX7VHySBLbQu,2021-12-30,200
6rVCUwfnuYTAsX4P9fIdIu,2021-12-30,192
5hzOyvCqy8sb39xGXUEdpb,2021-12-23,196
0m9QPTZzjtqCWY9Jg8poHc,2021-12-30,188
6Dmxt4rbi97c7sjoWRrJoj,2022-01-13,187
2zrhoHlFKxFTRF5aMyxMoQ,2022-03-24,199
2YQ8TlTmNheRI3VafoDpod,2021-12-16,199
3uRLwBjI2TahxslcMTvpFs,2021-12-30,194
3oYD2O31b05fILFpv0AXRI,2021-12-30,191
46IZ0fSY2mpAiktS3KOqds,2021-12-30,197
7wnOPAiqvIG4dTvEInj0YT,2022-01-13,196
5vsM9UppL2iTgOfenMB6Gz,2022-01-20,192
7BMKWT0Vw0EKDELXLvuWCp,2021-12-30,190
2F1Zfnh89pO7urUL7KoVfn,2022-01-27,193
23atyJacJVHvB9RHBNhr35,2021-12-16,195
5P8ZvBQoCrujjNcLAxO3Su,2022-03-24,197
7nWkch2lxmVbHOgKabM8qd,2022-02-24,199
1EM9pvygHqQm03as6sxLg9,2021-12-02,198
1ihCiJaXRl4f6Sy4LJov5z,2021-12-30,198
2ZwuYASDCCauXmgs1xpho2,2022-01-20,191
24oOsHxfHXXdbQ6OqAwyuq,2021-12-30,196
25BJRpLBe3i6d8okphoRAm,2022-06-02,190
3J34JtfZNylVXSKN4TDf12,2022-03-10,192
3LCwQoTrdQgHsGJE5gGVqx,2022-04-21,189
3hkGr1uZjTdiAPZrk2NTiP,2022-02-10,192
02MWAaffLxlfxAUY7c5dvx,2022-05-05,198
08YwAPnX8sygJUXG9rvhDv,2022-06-02,194
6g93YtKKHU2H1qIqhLIL0Y,2021-12-23,192
10y76UPiv2GXaAAuGASHLf,2022-02-03,194
0UcjHexmVrLkUOflxPefNe,2022-06-02,195
0mSG3sEPChXW7NBzQ1UQfM,2022-02-10,193
06Dyf27hoaHiVugKgL7K2Z,2022-03-03,199
6DaKMsQDmHMJbKYyU7AUFA,2022-04-21,199
2zh01m4PiHaZz4BAm0NRxs,2022-05-26,189
3THdOskGxdJcRbp0DcS4s0,2022-03-03,198
6N1K5OVVCopBjGViHs2IvP,2022-02-17,195
5w5ajnulcqLSooV37j7oMT,2022-02-24,193
6Yv0xoR37tcxzvey8ybW5l,2022-06-02,200
6bLZ6JV1mAGz4xfS1ZwOMV,2022-04-07,190
7iDC1sNnfChQhMmdBuZmBA,2022-03-17,196
0iB3hXMWoXsBVyTpnac2EY,2022-03-10,197
3apeXzypBMnUfYcZYNX6DH,2021-12-23,198
0dcnrLo8s1rhjm8euGjI4n,2022-05-12,190
5QS01sq07pThdktoNUxXRZ,2022-05-26,199
7Ki0hse0IfXEcXUlpyECbJ,2022-03-17,187
4tscsbUMuX7EUZE2m97C6d,2022-03-17,191
1Fb3LtxFAY2eMmauqJQsKq,2022-03-17,195
3nPRJP6hLZx32covZfpB6p,2022-05-12,196
2HovXsvcdJur52BOcYGydz,2021-12-16,189
7uSLJCDetmdm3tQcoYLyty,2022-04-28,197
1PvDnTxwVndr7bOrbtI2Zx,2022-05-05,191
1Alsp6EVIAHTDorSjPeRuY,2022-04-07,194
7BDHDiidJ8WV349p3HTxTV,2022-04-28,196
5U4PgFWzfzY7VEg9Ck4ziF,2022-04-07,196
56ISW3rNZJHEkUfVbZ61bq,2022-04-14,195
2T2PRhaEQLPoo78E8zyVgw,2022-03-31,196
7LI2pQoE3fWfOQuds2paXs,2022-03-31,197
0sVnyL71jTOuMt9TZ59bws,2022-04-07,199
1rDQ4oMwGJI7B4tovsBOxc,2022-04-28,194
0IAX0LbVY440WWJyOyuLw7,2022-06-02,199
0R8JLNP107Hr7V7lL9oh13,2022-06-02,196
2BfzhBl79bcPOHHXAXJkTY,2021-12-16,193
3nFxkwyRpr4xYBR9Z0ywjo,2022-05-26,197
6FHgHDXiGnRfhrSok9xAz3,2022-06-02,189
2CbDcSVFCbMSfLMoZiAFYN,2022-05-19,190
3OdkC5pG8vc26S26qHyBo8,2022-06-02,188
2VUQEplQ848X6lFLzBxQT8,2022-05-26,193
22x5EpcJkfE3SHBONJG6FS,2022-05-26,195
2ntXQnx4ZUraj1u5Hwqjem,2022-06-02,193
1E0Cy5d2qcXTs8xVGwEEFO,2021-12-09,187
118KEprYqS3XNWdBoKzkEH,2021-12-16,194
6nqfKM9JvQIiuAuzWZFvGW,2021-12-09,193
2ILz4eU7UCTv0Wup7F5lVt,2021-12-02,191
7hU3IHwjX150XLoTVmjD0q,2021-12-02,193
75fYFVXHzzwfc5yzFWlIlZ,2021-12-16,198
7rglLriMNBPAyuJOMGwi39,2021-12-02,197
3W4yKXVQ2BPWUZT8gsCf7W,2021-12-02,199
3RpFwqdROrxJvHywpT1pJ4,2021-12-16,192
5C1BhnH2RjQfShN1DzqyKy,2021-12-09,194
4IfAArwYrxwGvwSHMGPRFi,2021-12-23,194
